Opportunity ID,Opportunity Name,Account ID,Account Name,Opportunity Owner,Department,Service Line,Stage,Probability (%),Amount,Currency,Created Date,Expected Close Date,Actual Close Date,Loss Reason,Lead Source,Last Activity Date,Last Modified,source_file,Opp_ID,Created_On,Opp_Name,Acct_ID,Owner_Email,Business_Unit,Offering,Sales_Stage,Win_Probability,Deal_Value,Deal_Currency,Close_Date_Expected,Close_Date_Actual,Lost_Reason,Source,Last_Activity,Forecast_Category,Modified_At,crm_version
OPP-390,Umbria Institute - DevOps & Platform Engineering,ACC-10452,UMBRIA INSTITUTE SE,Lukas Schneider,Cloud and Infrastructure,DevOps & Platform Engineering,Closed - Lost,0%,56500.00,EUR,2024-06-22,2025-03-04,2024-11-14,No Budget,Partner Referral,2024-11-14,2024-11-14 19:00:50,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-670,Orion Industries - Analytics & BI,ACC-10253,Orion Industries S.L.,Marco Rossi,Data & AI,Analytics & BI,Closed Lost,0,29500,EUR,2024-08-21,2025-03-31,2024-10-25,No Decision / Stalled,Inbound - Website,2024-10-25,2024-10-25 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-726,Orion Automotive - SAP S/4HANA Implementation,ACC-10435,ORION AUTOMOTIVE S.A.,Paolo Conti,ERP & Business Apps,SAP S/4HANA Implementation,Closed - Lost,0%,"?330,500",EUR,2024-09-02,2025-03-03,2025-02-10,Price,Partner Referral,2025-02-10,2025-02-10 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-904,Novara Authority - Salesforce Implementation,ACC-10742,Novara Authority S.A.,Lena Fischer,ERP & Business Apps,Salesforce Implementation,Closed Won,100,702100,PLN,2024-10-12,2025-02-20,2025-03-13,,Referral,2025-03-13,2025-03-13 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-243,Polaris Broadcast - Salesforce Implementation,ACC-10629,Polaris Broadcast AB,Sven Johansson,ERP & Business Apps,,Closed Lost,0,1537900,SEK,24/05/2024,2024-07-06,2024-09-24,,AWS/Azure Co-sell,2024-09-24,2024-09-24 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-419,Stellaris Energy - SAP S/4HANA Implementation,ACC-10098,STELLARIS ENERGY APS,sven johansson,ERP & Business Apps,SAP S/4HANA Implementation,Closed Won,100,10626300,DKK,2024-06-29,2024-09-23,2024-09-17,,Partner Referral,2024-09-17,2024-09-17 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-809,Solvik Consumer - Security Assessment,ACC-10633,Solvik Consumer SAS,David Moreau,Cybersecurity,Security Assessment,closed lost,0,"?143,000",EUR,2024-09-22,2025-02-08,2025-04-22,Timing / Postponed,Existing Customer (Upsell),2025-04-22,2025-04-22 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-385,Estrella Municipal Services - DevOps & Platform Engineering,ACC-10285,Estrella Municipal Services S.r.l.,Mateo López,CLOUD,DevOps & Platform Engineering,closed lost,0,"?89,500",EUR,2024-06-21,2025-01-28,2024-08-14,Not a Fit,Hyperscaler Co-sell,2024-08-14,2024-08-14 17:25:11,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-184,Borealis Connect - AI & GenAI Solutions,ACC-10129,BOREALIS CONNECT B.V.,Emma de Vries,Data & AI,AI & GenAI Solutions,Closed - Lost,0,"207,500.00",EUR,2024-05-11,2024-08-07,2024-06-09,,Inbound - Website,09/06/2024,2024-06-09 17:12:30,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-520,Iberia Institute - SAP S/4HANA Implementation,ACC-10359,IBERIA INSTITUTE SP. Z O.O.,Lena Fischer,ERP and Business Applications,SAP S/4HANA Implementation,1 - Discovery,30%,3393400,PLN,2024-07-19,2025-01-16,,,Partner Referral,2024-07-31,2024-07-27 06:56:28,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-567,Stellaris Motorenwerk - Managed SOC,ACC-10331,Stellaris Motorenwerk AG,Felix Wagner,Cyber Security,Managed SOC,Discovery,30,285000,EUR,2024-07-30,2024-12-12,,,Webinar,2024-08-06,2024-08-05 00:57:09,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-562,Karlsson Foods - Application Support,ACC-10719,Karlsson Foods plc,Grace Thompson,ERP & Apps,Application Support,closed lost,0,41 800,GBP,2024-07-28,2024-11-21,2024-09-12,,Partner Referral,2024-09-12,2024-09-12 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-983,Marisol Public Services - Analytics & BI,ACC-10217,Marisol Public Services SE,Anna Müller,Data&AI,Analytics & BI,Closed Lost,0,69000,EUR,2024-10-31,2025-04-06,2024-11-23,Not a Fit,Event / Webinar,2024-11-23,2024-11-23 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-741,Vistula Authority - Data Platform Modernisation,ACC-10361,Vistula Authority SAS,Hugo Laurent,Data & AI,Data Platform Modernisation,Closed Lost,0,101500,,2024-09-07,2025-04-08,2024-11-10,No Budget,Event / Webinar,2024-11-10,2024-11-10 19:22:43,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-880,Novara Logistics - SAP S/4HANA Implementation,ACC-10444,Novara Logistics S.r.l.,Paolo Conti,ERP & Business Apps,SAP S/4HANA Implementation,Closed - Lost,0,954500,EUR,2024-10-07,2025-04-10,2025-01-07,Stalled,Inbound - Website,2025-01-07,2025-01-07 18:28:52,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-239,Vektor Invest - Salesforce Implementation,ACC-10150,Vektor Invest Sp. z o.o.,Lena Fischer,ERP & Apps,Salesforce Implementation,2 - Solution Design,50%,1149300,PLN,2024-05-23,2024-11-26,,,Event / Webinar,2024-07-07,2024-07-03 23:18:33,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-623,Gallway Assurance - Salesforce Implementation,ACC-10505,Gallway Assurance Ltd,G. Thompson,ERP & Business Apps,Salesforce Implementation,Closed Won,100%,130200,GBP,2024-08-12,2024-11-19,2024-11-19,,Event,2024-11-19,2024-11-19 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-573,Alpenkraft Components - Analytics & BI,ACC-10212,Alpenkraft Components Ltd,Ethan Clarke,Data & AI,Analytics & BI,Closed Lost,0,42500,EUR,2024-07-30,2024-11-27,2025-02-05,Not a Fit,Outbound,2025-02-05,2025-02-05 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-154,Olympia Energy - DevOps & Platform Engineering,ACC-10037,OLYMPIA ENERGY LTD,Oliver Hughes,Cloud & Infrastructure,DevOps & Platform Engineering,closed lost,0,"142,200.00",GBP,2024-05-03,2024-06-18,2024-06-27,No Budget,Website,2024-06-27,2024-06-27 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-259,Moselle Agency - Identity & Access Management,ACC-10288,Moselle Agency S.p.A.,I. Ferreira,Cybersecurity,Identity & Access Management,Lost,0,"?79,500",eur,2024-05-28,2025-03-30,2024-08-24,Not a Fit,Inbound - Website,2024-08-24,2024-08-24 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-464,Novara Capital - Managed SOC,ACC-10170,Novara Capital plc,Tom Barker,Cyber Security,,Closed Lost,0,170200,GBP,2024-07-09,2024-10-01,2024-09-03,No Budget,Outbound - SDR,2024-09-03,2024-09-03 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-176,Kronberg Health - Application Support,ACC-10428,KRONBERG HEALTH GMBH,Julia Hoffmann,ERP & Business Apps,Application Support,Closed Lost,0,"?305,000",EUR,2024-05-08,2024-09-30,23/05/2024,No Decision / Stalled,Website,2024-05-23,2024-05-23 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-7,Polaris Broadcast - DevOps & Platform Engineering,ACC-10629,Polaris Broadcast AB,freja nielsen,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Lost,0%,918700,SEK,2024-04-03,2024-08-05,2024-08-18,Lost to Competitor,Partner Referral,2024-08-18,2024-08-18 18:20:09,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-75,Kronberg Municipal Services - Application Support,ACC-10318,Kronberg Municipal Services Oyj,Sven Johansson,ERP & Business Apps,Application Support,Closed Lost,0,306000,EUR,2024-04-18,2024-09-19,2024-05-24,Not qualified,Hyperscaler Co-sell,2024-05-24,2024-05-24 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-826,Dunmore Medical - SAP S/4HANA Implementation,ACC-10024,Dunmore Medical Ltd,"Thompson, Grace",ERP & Business Apps,SAP S/4HANA Implementation,Closed Lost,0%,2508500,GBP,2024-09-25,2025-02-28,2024-12-22,No Decision / Stalled,Inbound - Website,2024-12-22,2024-12-22 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-192,Karlsson Industries - Data Platform Modernisation,ACC-10540,Karlsson Industries DAC,Ethan Clarke,Data & AI,Data Platform Modernisation,Discovery,10%,55500,EUR,2024-05-12,2024-08-15,,,Hyperscaler Co-sell,2024-05-31,2024-05-29 00:47:16,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-930,Kestrel Utilities - DevOps & Platform Engineering,ACC-10344,Kestrel Utilities ApS,Freja Nielsen,CLOUD,DevOps & Platform Engineering,Won,100,815300,DKK,2024-10-17,2024-11-21,2025-02-01,,AWS/Azure Co-sell,2025-02-01,2025-02-01 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-383,Atlas Bank - Security Assessment,ACC-10577,Atlas Bank SAS,David Moreau,Cybersecurity,Security Assessment,5 - Closed Won,100,"38,500.00",?,2024-06-21,2024-12-05,2025-04-20,,Outbound - SDR,2025-04-20,2025-04-20 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-20,Invicta Medical - Application Support,ACC-10182,Invicta Medical AG,Julia Hoffmann,ERP & Business Apps,Application Support,Closed Lost,0,81000,EUR,2024-04-05,2024-07-03,2024-06-27,No decision,Co-sell,2024-06-27,2024-06-27 19:45:55,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-799,Silverline Public Services - Application Support,ACC-10085,Silverline Public Services GmbH,Julia Hoffmann,ERP & Apps,Application Support,Closed - Lost,0,331000,EUR,2024-09-20,2025-02-09,2025-02-03,Timing / Postponed,Partner Referral,2025-02-03,2025-02-03 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-888,Orion Logistics - Managed SOC,ACC-10479,Orion Logistics SAS,David Moreau,Cyber Security,Managed SOC,Closed Lost,0,411000,EUR,2024-10-08,2025-01-23,2025-02-10,Not a Fit,Outbound - SDR,2025-02-10,2025-02-10 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-733,Harbour Capital - Salesforce Implementation,ACC-10323,Harbour Capital SAS,Camille Bernard,ERP & Business Apps,Salesforce Implementation,Closed - Lost,0,372000,EUR,2024-09-04,2025-02-25,2024-12-04,Lost to Competitor,Outbound,2024-12-04,2024-12-04 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-525,Arcadia Industries - Cloud Migration,ACC-10623,Arcadia Industries S.A.,Tomá? Novák,Cloud & Infrastructure,,Lost,0,504400,PLN,2024-07-19,2024-12-21,2024-09-08,,Outbound - SDR,2024-09-08,2024-09-08 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-307,Oakridge Assurance - DevOps & Platform Engineering,ACC-10622,Oakridge Assurance A/S,freja nielsen,Cloud and Infrastructure,DevOps & Platform Engineering,Closed - Lost,0,496800,DKK,2024-06-07,2024-10-06,2024-08-12,Stalled,Inbound - Website,2024-08-12,2024-08-12 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-264,Ysolde Motorenwerk - Managed Cloud Services,ACC-10346,Ysolde Motorenwerk ASA,Freja Nielsen,CLOUD,Managed Cloud Services,Closed Lost,0,"9,008,700.00",NOK,2024-05-28,2024-08-07,2024-08-26,Not a Fit,Partner Referral,2024-08-26,2024-08-26 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-661,Dunmore Automotive - AI & GenAI Solutions,ACC-10316,Dunmore Automotive Ltd,niamh walsh,Data & AI,AI & GenAI Solutions,Closed Won,100,"164,100.00",GBP,2024-08-20,2024-11-30,2024-12-29,,Event / Webinar,29/12/2024,2024-12-29 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-712,Saxon Foods - Security Assessment,ACC-10522,Saxon Foods GmbH,F. Wagner,cybersecurity,Security Assessment,Closed Lost,0%,60000,EUR,2024-09-01,2025-02-07,2024-09-25,No fit,Inbound - Website,2024-09-25,2024-09-25 17:21:12,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-449,Falkner Broadcast - SAP S/4HANA Implementation,ACC-10603,Falkner Broadcast SA,Julia Hoffmann,ERP & Business Apps,SAP S/4HANA Implementation,closed lost,0,496500,CHF,2024-07-05,2024-11-09,2024-09-22,No Decision / Stalled,Hyperscaler Co-sell,22/09/2024,2024-09-22 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-801,Estrella Precision - SAP S/4HANA Implementation,ACC-10507,Estrella Precision SAS,Camille Bernard,ERP & Business Apps,SAP S/4HANA Implementation,Closed Won,100%,102 000,EUR,2024-09-20,2025-01-20,,,Partner Referral,2025-04-20,2025-04-20 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-908,Tamsin Authority - SAP S/4HANA Implementation,ACC-10143,Tamsin Authority S.à r.l.,Lena Fischer,ERP & Business Apps,SAP S/4HANA Implementation,Closed Lost,0,1877500,EUR,2024-10-12,2025-03-17,2024-11-28,No Decision / Stalled,Inbound - Website,2024-11-28,2024-11-28 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-126,Vistula Medical - Application Support,ACC-10164,Vistula Medical AG,Julia Hoffmann,ERP and Business Applications,Application Support,5 - Closed Won,100,40500,EUR,2024-04-29,2024-10-01,2024-11-28,,Event / Webinar,2024-11-28,2024-11-28 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-281,Falkner Pharma - Salesforce Implementation,ACC-10112,FALKNER PHARMA GMBH,Julia Hoffmann,ERP & Business Apps,Salesforce Implementation,Closed Won,100%,282500,EUR,2024-06-01,2024-08-07,2024-11-07,,Webinar,2024-11-07,2024-11-07 19:00:35,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-393,Saxon Precision - Analytics & BI,ACC-10156,Saxon Precision SA,Anna Müller,Data & AI,Analytics & BI,Discovery,30,227000,,2024-06-22,2024-10-07,,,Partner Referral,2024-08-11,2024-08-08 08:40:39,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-716,Zentra Automotive - SAP S/4HANA Implementation,ACC-10325,Zentra Automotive SE,Lena Fischer,ERP,SAP S/4HANA Implementation,Closed Lost,0,612500,eur,2024-09-01,2024-12-17,2024-10-18,No Budget,Outbound - SDR,2024-10-18,2024-10-18 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-461,Delta Utilities - Cloud Migration,ACC-10500,Delta Utilities a.s.,"Novák, Tomá?",Cloud & Infrastructure,Cloud Migration,Closed Lost,0%,"86,500.00",EUR,2024-07-08,2025-01-09,2024-10-16,Not qualified,Event / Webinar,2024-10-16,2024-10-16 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-778,Bergmann Consumer - Managed SOC,ACC-10247,Bergmann Consumer S.A.,Isabel Ferreira,Cybersecurity,Managed SOC,Lost,0%,255000,EUR,2024-09-17,2025-02-14,2024-10-16,Not a Fit,Inbound - Website,2024-10-16,2024-10-16 22:49:22,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-516,Delta Power - Managed Cloud Services,ACC-10737,Delta Power AB,Freja Nielsen,Cloud & Infrastructure,Managed Cloud Services,closed won,100,998300,SEK,2024-07-18,2024-09-16,2025-05-26,,Outbound - SDR,2025-05-26,2025-05-26 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-822,Moselle Retail - Salesforce Implementation,ACC-10258,Moselle Retail Ltd,Grace Thompson,ERP & Business Apps,Salesforce Implementation,Closed Won,100,105700,GBP,2024-09-24,2025-01-12,2025-02-13,,Inbound,2025-02-13,2025-02-13 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-862,Vistula Authority - Salesforce Implementation,ACC-10361,Vistula Authority SAS,Camille Bernard,ERP & Business Apps,Salesforce Implementation,closed lost,0,40500,EUR,2024-10-02,2025-03-24,2025-05-08,Doing in-house,Hyperscaler Co-sell,2025-05-08,2025-05-08 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-855,Dunmore Agency - Managed Cloud Services,ACC-10317,Dunmore Agency NV,Pieter Janssens,Cloud & Infrastructure,Managed Cloud Services,Closed - Lost,0,"?53,500",EUR,2024-10-01,2025-05-22,2024-12-03,no budget,Hyperscaler Co-sell,2024-12-03,2024-12-03 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-677,Alpenkraft Capital - Analytics & BI,ACC-10055,Alpenkraft Capital S.p.A.,Marco Rossi,Data & AI,Analytics & BI,Closed Lost,0,68500,EUR,2024-08-24,2025-02-06,2024-12-01,No Decision / Stalled,Referral,2024-12-01,2024-12-01 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-772,Delta Industries - DevOps & Platform Engineering,ACC-10079,Delta Industries SAS,Chloé Martin,Cloud & Infrastructure,DevOps & Platform Engineering,Closed - Lost,0%,140000,EUR,2024-09-15,2025-04-09,2024-09-29,No Budget,Inbound - Website,2024-09-29,2024-09-29 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-611,Estrella Capital - Managed Cloud Services,ACC-10581,Estrella Capital Ltd,Oliver Hughes,Cloud & Infrastructure,Managed Cloud Services,Closed Won,100%,112300,GBP,2024-08-09,2025-02-15,28/11/2024,,Outbound,2024-11-28,2024-11-28 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-256,Elbe Consumer - AI & GenAI Solutions,ACC-10440,Elbe Consumer SA,Hugo Laurent,Data & AI,AI & GenAI Solutions,Closed - Lost,,205500,EUR,2024-05-27,2024-09-13,2024-06-09,No Decision / Stalled,Event,2024-06-09,2024-06-09 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-519,Stellaris Freight - Identity & Access Management,ACC-10477,STELLARIS FREIGHT SA,David Moreau,Cybersecurity,Identity & Access Management,Qualification,10%,52500,EUR,2024-07-19,2024-12-17,,,Co-sell,2024-08-12,2024-08-07 22:42:01,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-375,Baltica Motorenwerk - SAP S/4HANA Implementation,ACC-10550,Baltica Motorenwerk S.p.A.,Paolo Conti,ERP & Business Apps,SAP S/4HANA Implementation,Closed Lost,0,1023500,EUR,2024-06-19,2024-10-05,2024-11-30,Competitor,Partner Referral,2024-11-30,2024-11-30 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-223,Novara Capital - Analytics & BI,ACC-10170,Novara Capital plc,Ethan Clarke,Data and AI,Analytics & BI,closed lost,0%,27400,GBP,2024-05-19,2024-10-06,2025-05-16,Scope Reduced / In-house,Referral,2025-05-16,2025-05-16 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-230,Tauern Retail - AI & GenAI Solutions,ACC-10111,Tauern Retail Lda,Marco Rossi,Data & AI,AI & GenAI Solutions,Closed Lost,0%,106500,,2024-05-21,2024-10-31,2024-07-17,No fit,Referral,2024-07-17,2024-07-17 18:23:47,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-721,Kestrel Connect - DevOps & Platform Engineering,ACC-10411,Kestrel Connect S.A.,Mateo López,CLOUD,DevOps & Platform Engineering,Lost,0,109500,EUR,2024-09-02,2025-01-22,2024-11-09,No Budget,Inbound,2024-11-09,2024-11-09 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-849,Umbria Health - DevOps & Platform Engineering,ACC-10158,Umbria Health Sp. z o.o.,Tomá? Novák,Cloud & Infrastructure,,Lost,0,1653100,PLN,2024-09-29,2025-05-08,2026-02-19,Scope Reduced / In-house,Event / Webinar,2026-02-19,2026-02-19 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-649,Karlsson Media - AI & GenAI Solutions,ACC-10082,Karlsson Media ASA,Mikael Lindqvist,Data & AI,AI & GenAI Solutions,Closed Won,,3110000,,16/08/2024,2024-11-04,2024-12-05,,Hyperscaler Co-sell,2024-12-05,2024-12-05 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-675,Baltica Municipal Services - Application Support,ACC-10137,Baltica Municipal Services SAS,Camille Bernard,ERP & Business Apps,Application Support,Solution Design,60,755500,EUR,2024-08-22,2026-12-07,,,Event / Webinar,2024-08-25,2024-08-29 07:41:40,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-276,Invicta Authority - Managed SOC,ACC-10231,Invicta Authority S.r.l.,Isabel Ferreira,Cybersecurity,Managed SOC,Closed - Lost,0%,399500,EUR,2024-05-31,2024-09-22,2024-07-06,No fit,SDR,2024-07-06,2024-07-06 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-957,Dunmore Medical - AI & GenAI Solutions,ACC-10024,Dunmore Medical Ltd,Niamh Walsh,Data & AI,AI & GenAI Solutions,closed lost,0,245400,GBP,23/10/2024,2025-02-04,2025-04-24,Not qualified,Inbound - Website,2025-04-24,2025-04-24 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-169,Delta Automotive - Identity & Access Management,ACC-10465,Delta Automotive Lda,Isabel Ferreira,Cybersecurity,Identity & Access Management,Closed Won,100%,171000,EUR,2024-05-07,2024-10-08,2024-09-23,,Event / Webinar,2024-09-23,2024-09-23 18:55:57,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-622,Danubia Finance - Managed Cloud Services,ACC-10263,Danubia Finance Lda,Mateo López,Cloud & Infrastructure,Managed Cloud Services,Closed Lost,0,166000,eur,2024-08-11,2025-01-16,2024-10-23,No fit,Event / Webinar,2024-10-23,2024-10-23 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-275,Isola Broadcast - SAP S/4HANA Implementation,ACC-10215,Isola Broadcast plc,Grace Thompson,ERP & Apps,SAP S/4HANA Implementation,Closed Lost,0,353600,GBP,2024-05-31,2024-11-03,2024-06-16,Not a Fit,Outbound - SDR,2024-06-16,2024-06-16 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-821,Estrella Consumer - SAP S/4HANA Implementation,ACC-10458,Estrella Consumer SA,Camille Bernard,ERP and Business Applications,SAP S/4HANA Implementation,Closed Lost,0,1710000,EUR,2024-09-24,2025-01-28,2024-10-23,No Decision / Stalled,Partner Referral,2024-10-23,2024-10-23 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
OPP-250,Westbrook Components - Analytics & BI,ACC-10421,Westbrook Components S.A.,K. Nowak,DATA & AI,Analytics & BI,Closed Lost,0,268400,PLN,2024-05-26,2024-09-24,2024-06-02,No Budget,Referral,2024-06-02,2024-06-02 17:00:00,opps_2024_10,,,,,,,,,,,,,,,,,,,v1
